time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.0457816,2.5718e-05,0.81944,5000,4,4,500
0.0457688,2.6828e-05,0.799413,5000,8,4,500
0.0456221,2.6544e-05,0.797628,5000,16,4,500
0.045732,2.6175e-05,0.789649,5000,32,4,500
0.0457781,2.8193e-05,0.787648,5000,64,4,500
0.0458192,2.7181e-05,0.80422,5000,128,4,500
0.0457296,2.6183e-05,0.820207,5000,256,4,500
0.0457005,2.6543e-05,0.902987,5000,1,8,500
0.0449828,2.7751e-05,0.80738,5000,2,8,500
0.0457165,2.6844e-05,0.777412,5000,4,8,500
0.0456884,2.6238e-05,0.771822,5000,8,8,500
0.0457166,2.6359e-05,0.77361,5000,16,8,500
0.0457518,2.6739e-05,0.777664,5000,32,8,500
0.0457503,2.7189e-05,0.771414,5000,64,8,500
0.0457833,2.7092e-05,0.781431,5000,128,8,500
0.0457397,3.0041e-05,0.641599,5000,1,16,500
0.0459245,2.6871e-05,0.604715,5000,2,16,500
0.0457008,2.6477e-05,0.608775,5000,4,16,500
0.0457736,2.5901e-05,0.604871,5000,8,16,500
0.0456793,2.611e-05,0.603596,5000,16,16,500
0.0457222,2.6041e-05,0.60183,5000,32,16,500
0.0457554,2.6236e-05,0.602481,5000,64,16,500
0.0456649,2.6373e-05,0.581017,5000,1,32,500
0.0457224,2.5316e-05,0.560567,5000,2,32,500
0.0457283,2.6026e-05,0.558639,5000,4,32,500
0.0457023,2.662e-05,0.560386,5000,8,32,500
0.0456439,2.6287e-05,0.557936,5000,16,32,500
0.0456589,2.6898e-05,0.552842,5000,32,32,500
0.045769,2.6632e-05,0.550047,5000,1,64,500
0.045654,2.6361e-05,0.546611,5000,2,64,500
0.0456698,2.6646e-05,0.549115,5000,4,64,500
0.0456626,2.704e-05,0.550291,5000,8,64,500
0.0457044,2.5927e-05,0.546729,5000,16,64,500
0.0456364,2.767e-05,0.541707,5000,1,128,500
0.0457382,2.6079e-05,0.542181,5000,2,128,500
0.0457581,2.6145e-05,0.547226,5000,4,128,500
0.0457293,2.6454e-05,0.546227,5000,8,128,500
0.0456429,2.6981e-05,0.538581,5000,1,256,500
0.0457784,2.7273e-05,0.544299,5000,2,256,500
0.0456843,2.7192e-05,0.543987,5000,4,256,500
0.0457104,2.6603e-05,0.540642,5000,1,512,500
0.0456653,2.6764e-05,0.541904,5000,2,512,500
0.0457713,2.5666e-05,0.540902,5000,1,1024,500
0.17642,4.0527e-05,3.91999,10000,1,1,500
0.176049,4.1383e-05,2.51553,10000,2,1,500
0.176076,3.9923e-05,1.99539,10000,4,1,500
0.176203,3.9662e-05,1.90253,10000,8,1,500
